accuracy,defect_precision,defect_recall,loss,pr_auc,roc_auc,val_accuracy,val_defect_precision,val_defect_recall,val_loss,val_pr_auc,val_roc_auc,learning_rate
0.8778877854347229,0.9190751314163208,0.8736263513565063,0.3079954981803894,0.9690887928009033,0.9504333734512329,0.7333333492279053,0.692307710647583,1.0,0.48024749755859375,0.9774194359779358,0.9607166051864624,0.0010000000474974513
0.9669967293739319,0.983146071434021,0.9615384340286255,0.08356715738773346,0.9970893859863281,0.9950857162475586,0.7384615540504456,0.6964285969734192,1.0,0.43231961131095886,0.9915906190872192,0.9857549667358398,0.0010000000474974513
0.9845984578132629,0.9889705777168274,0.9853479862213135,0.04694241285324097,0.999280571937561,0.9988974928855896,0.8666666746139526,0.8181818127632141,1.0,0.25718581676483154,0.9988983869552612,0.9981920123100281,0.0010000000474974513
0.9856985807418823,0.988990843296051,0.9871794581413269,0.04210769757628441,0.9993916153907776,0.9990716576576233,0.8769230842590332,0.8297872543334961,1.0,0.22287045419216156,0.9955964088439941,0.9927679300308228,0.0010000000474974513
0.9735973477363586,0.9833333492279053,0.9725274443626404,0.08000747114419937,0.995631754398346,0.9942228198051453,0.9794871807098389,0.9829059839248657,0.9829059839248657,0.12043681740760803,0.9987921118736267,0.9980824589729309,0.0010000000474974513
0.9768977165222168,0.9888268113136292,0.9725274443626404,0.05884788557887077,0.9986593723297119,0.9980196952819824,0.9897435903549194,0.9831932783126831,1.0,0.10255587846040726,0.999927282333374,0.9998903870582581,0.0010000000474974513
0.9801980257034302,0.9852941036224365,0.9816849827766418,0.06892130523920059,0.9964585304260254,0.9958804249763489,0.9846153855323792,0.9750000238418579,1.0,0.06430790573358536,0.999927282333374,0.9998905062675476,0.0010000000474974513
0.9757975935935974,0.9816176295280457,0.9780219793319702,0.06827371567487717,0.9963847398757935,0.9957946538925171,0.9897435903549194,0.9831932783126831,1.0,0.04538148269057274,0.9997102618217468,0.999561607837677,0.0010000000474974513
0.9812981486320496,0.9889094233512878,0.9798534512519836,0.047061096876859665,0.9988912343978882,0.9979969263076782,1.0,1.0,1.0,0.02256569266319275,1.0,0.9999999403953552,0.0010000000474974513
0.9911991357803345,0.9944853186607361,0.9908424615859985,0.026710541918873787,0.9997249245643616,0.9995761513710022,1.0,1.0,1.0,0.013793442398309708,1.0,1.0,0.0010000000474974513
0.9900990128517151,0.9944751262664795,0.9890109896659851,0.03425544127821922,0.9992614984512329,0.9985846281051636,0.9948717951774597,0.991525411605835,1.0,0.015310644172132015,1.0,1.0,0.0010000000474974513
0.9801980257034302,0.9870848655700684,0.9798534512519836,0.03547518700361252,0.9995237588882446,0.9992886781692505,0.9897435903549194,0.9914529919624329,0.9914529919624329,0.02080078423023224,0.9998557567596436,0.9997808337211609,0.0010000000474974513
