epoch,accuracy,defect_precision,defect_recall,loss,pr_auc,roc_auc,val_accuracy,val_defect_precision,val_defect_recall,val_loss,val_pr_auc,val_roc_auc
0,0.8767876625061035,0.9340000152587891,0.8553113341331482,0.32385262846946716,0.9690552949905396,0.9465281963348389,0.6512820720672607,0.6324324607849121,1.0,0.4998980760574341,0.9810075759887695,0.9686609506607056
1,0.9625962376594543,0.9848484992980957,0.9523809552192688,0.09439865499734879,0.9961708188056946,0.9934762716293335,0.7487179636955261,0.7048192620277405,1.0,0.4150892496109009,0.9970908761024475,0.9953978061676025
2,0.9812981486320496,0.9853211045265198,0.9835164546966553,0.057193730026483536,0.998381495475769,0.9970711469650269,0.8974359035491943,0.8540145754814148,1.0,0.26605749130249023,0.9992044568061829,0.998794674873352
3,0.974697470664978,0.9869646430015564,0.970695972442627,0.057379040867090225,0.9985935688018799,0.9977245926856995,0.9076923131942749,0.8666666746139526,1.0,0.2246071845293045,1.0,1.0
4,0.9823982119560242,0.9853479862213135,0.9853479862213135,0.0475521981716156,0.9991235733032227,0.9986553192138672,0.9230769276618958,0.9047619104385376,0.9743589758872986,0.15364179015159607,0.9957278966903687,0.993096649646759
5,0.9779977798461914,0.9852398633956909,0.9780219793319702,0.07193123549222946,0.9960238933563232,0.994891345500946,0.9948717951774597,1.0,0.9914529919624329,0.058608587831258774,1.0000001192092896,1.0000001192092896
6,0.9944994449615479,0.9981583952903748,0.9926739931106567,0.022953033447265625,0.9994834661483765,0.9989102482795715,1.0,1.0,1.0,0.0358244888484478,1.0,1.0
7,0.9889988899230957,0.9908424615859985,0.9908424615859985,0.03418956324458122,0.9992027282714844,0.9984914064407349,1.0,1.0,1.0,0.022830698639154434,1.0,0.9999999403953552
